# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 96-Cm-258
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  129      9.18240E-02      2.17316E+02      6.98785E+00
  130      9.38486E-02      2.17391E+02      7.34557E+00
  131      9.99226E-02      2.17300E+02      6.80670E+00
  132      9.24790E-02      2.17693E+02      7.45699E+00
  133      7.07438E-02      2.17067E+02      7.32440E+00
  134      5.97273E-02      2.15712E+02      7.74121E+00
  135      5.25814E-02      2.13225E+02      1.07475E+01
  136      5.13905E-02      2.02712E+02      2.01019E+01
  137      5.36533E-02      1.94806E+02      1.78543E+01
  138      4.34109E-02      1.89103E+02      1.15412E+01
  139      4.21604E-02      1.87016E+02      9.20824E+00
  140      3.84089E-02      1.86490E+02      8.84074E+00
  141      3.65033E-02      1.85032E+02      7.96043E+00
  142      3.71583E-02      1.84247E+02      7.94515E+00
  143      2.60227E-02      1.83598E+02      7.44450E+00
  144      1.73882E-02      1.82652E+02      8.10172E+00
  145      1.42321E-02      1.81086E+02      8.58813E+00
  146      1.19097E-02      1.81377E+02      8.16376E+00
  147      1.00042E-02      1.80477E+02      9.42397E+00
  148      8.09861E-03      1.79022E+02      7.73639E+00
  149      6.13351E-03      1.81179E+02      9.44680E+00
  150      5.06163E-03      1.78401E+02      7.64203E+00
  151      3.93021E-03      1.74257E+02      8.99324E+00
  152      3.69201E-03      1.78492E+02      1.00016E+01
  153      2.73924E-03      1.75896E+02      9.64200E+00
  154      1.42917E-03      1.73252E+02      1.08858E+01
  155      1.96510E-03      1.75414E+02      1.80028E+01
  156      2.14375E-03      1.76352E+02      1.12034E+01
  157      1.78646E-03      1.76127E+02      1.09623E+01
  158      1.66736E-03      1.71055E+02      1.23645E+01
  159      8.33681E-04      1.75445E+02      2.14368E+01
  160      9.52778E-04      1.71834E+02      9.85468E+00
  161      1.07188E-03      1.75764E+02      9.13560E+00
  162      1.42917E-03      1.74548E+02      8.60567E+00
  163      1.07188E-03      1.67973E+02      1.61876E+01
  164      1.25052E-03      1.70525E+02      9.55714E+00
  165      1.01233E-03      1.71474E+02      1.00330E+01
  166      1.36962E-03      1.67567E+02      1.60945E+01
  167      1.36962E-03      1.71329E+02      1.87294E+01
  168      1.31007E-03      1.68716E+02      9.96947E+00
  169      1.01233E-03      1.66777E+02      5.88404E+00
  170      1.84601E-03      1.64788E+02      1.14968E+01
  171      1.07188E-03      1.67535E+02      1.29230E+01
  172      6.55035E-04      1.65999E+02      1.08148E+01
  173      4.16840E-04      1.72011E+02      1.74490E+01
  174      4.76389E-04      1.63555E+02      6.21771E+00
  175      3.57292E-04      1.58711E+02      7.79761E+00
  176      1.78646E-04      1.61265E+02      1.00000E+01
  177      1.78646E-04      1.60744E+02      1.00000E+01
  178      1.19097E-04      1.60284E+02      1.00000E+01
