# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 114-Fl-296
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  148      4.49438E-02      2.60083E+02      1.84011E+01
  149      3.78474E-02      2.66489E+02      2.41749E+01
  150      4.61266E-02      2.64865E+02      2.21322E+01
  151      5.61798E-02      2.63306E+02      1.25035E+01
  152      3.72561E-02      2.64101E+02      1.61470E+01
  153      3.78474E-02      2.68073E+02      1.96362E+01
  154      5.02661E-02      2.62666E+02      1.15743E+01
  155      4.19870E-02      2.63289E+02      1.76835E+01
  156      4.43525E-02      2.67965E+02      9.12205E+00
  157      4.67179E-02      2.65483E+02      2.13538E+01
  158      2.77942E-02      2.65615E+02      1.77388E+01
  159      1.65582E-02      2.65929E+02      1.32687E+01
  160      1.30101E-02      2.62701E+02      1.99267E+01
  161      1.59669E-02      2.59905E+02      2.25669E+01
  162      8.27912E-03      2.67176E+02      1.83084E+01
  163      6.50503E-03      2.46410E+02      3.73612E+01
  164      4.73093E-03      2.51737E+02      1.97608E+01
  165      4.73093E-03      2.63450E+02      2.27165E+01
  166      1.18273E-03      2.44199E+02      1.00000E+01
  167      2.36546E-03      2.41654E+02      1.00000E+01
  168      4.73093E-03      2.33135E+02      2.68746E+01
  169      3.54820E-03      2.49770E+02      2.53657E+01
  170      5.32229E-03      2.33663E+02      1.10705E+01
  171      1.18273E-03      2.33160E+02      1.00000E+01
  172      5.32229E-03      2.29202E+02      2.13359E+01
  173      2.36546E-03      2.30293E+02      1.00000E+01
  174      7.09639E-03      2.26120E+02      1.76259E+01
  175      5.91366E-03      2.17456E+02      1.15131E+01
  176      5.32229E-03      2.26979E+02      2.06992E+01
  177      2.36546E-03      2.27859E+02      1.00000E+01
  178      3.54820E-03      2.20469E+02      2.61961E+01
  179      4.13956E-03      2.26697E+02      1.55891E+01
  180      3.54820E-03      2.25198E+02      2.18816E+01
  181      5.32229E-03      2.26236E+02      2.90398E+01
  182      3.54820E-03      2.21860E+02      1.97323E+01
  183      2.95683E-03      2.51159E+02      1.77660E+01
  184      4.13956E-03      2.42292E+02      2.11277E+01
  185      6.50503E-03      2.42600E+02      1.81138E+01
  186      3.54820E-03      2.38447E+02      1.93337E+01
  187      5.91366E-03      2.41985E+02      2.15742E+01
  188      1.77410E-03      2.39047E+02      1.00000E+01
  189      1.00532E-02      2.38119E+02      1.80846E+01
  190      5.91366E-03      2.46601E+02      6.77738E+00
  191      6.50503E-03      2.42547E+02      1.30736E+01
  192      3.54820E-03      2.40119E+02      1.49354E+01
  193      7.68776E-03      2.49516E+02      1.11557E+01
  194      1.12360E-02      2.38918E+02      1.19235E+01
  195      1.18273E-02      2.44248E+02      9.82522E+00
  196      8.87049E-03      2.44298E+02      1.24327E+01
  197      1.18273E-02      2.46112E+02      1.16422E+01
  198      1.59669E-02      2.44403E+02      1.23164E+01
  199      2.36546E-02      2.46241E+02      1.55499E+01
  200      1.65582E-02      2.41266E+02      1.39221E+01
  201      2.18805E-02      2.42303E+02      1.08335E+01
  202      2.77942E-02      2.38482E+02      1.59923E+01
  203      2.54287E-02      2.38890E+02      1.86411E+01
  204      3.07510E-02      2.29929E+02      2.44832E+01
  205      2.36546E-02      2.36257E+02      1.60894E+01
  206      2.24719E-02      2.30572E+02      2.28821E+01
  207      2.54287E-02      2.29330E+02      2.63447E+01
  208      1.24187E-02      2.27128E+02      2.14510E+01
  209      1.47842E-02      2.27289E+02      1.32110E+01
  210      1.24187E-02      2.14970E+02      1.41554E+01
  211      5.91366E-03      2.19788E+02      1.66824E+01
  212      6.50503E-03      2.24811E+02      1.36728E+01
  213      1.18273E-03      2.23270E+02      1.00000E+01
  214      2.36546E-03      2.25301E+02      1.00000E+01
  215      5.91366E-04      2.28848E+02      1.00000E+01
