# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 104-Rf-260
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  130      2.60648E-02      2.45890E+02      1.18040E+01
  131      2.62768E-02      2.45058E+02      1.10994E+01
  132      3.09388E-02      2.45278E+02      1.03290E+01
  133      3.46472E-02      2.43291E+02      1.08762E+01
  134      3.32698E-02      2.41835E+02      1.23977E+01
  135      3.70841E-02      2.39964E+02      1.28452E+01
  136      3.78258E-02      2.36588E+02      1.23075E+01
  137      4.69379E-02      2.34060E+02      1.70719E+01
  138      6.06061E-02      2.29639E+02      1.80759E+01
  139      5.54143E-02      2.24356E+02      1.77520E+01
  140      5.05404E-02      2.20801E+02      1.66582E+01
  141      5.17059E-02      2.17631E+02      1.60548E+01
  142      6.18775E-02      2.13565E+02      1.44573E+01
  143      6.87646E-02      2.12373E+02      1.17067E+01
  144      5.97584E-02      2.09297E+02      1.20195E+01
  145      5.07523E-02      2.08764E+02      1.05060E+01
  146      4.34414E-02      2.08731E+02      9.65793E+00
  147      4.73617E-02      2.08008E+02      1.11395E+01
  148      4.14283E-02      2.07082E+02      1.02474E+01
  149      2.76542E-02      2.08225E+02      1.04009E+01
  150      1.93897E-02      2.08813E+02      1.09902E+01
  151      1.49396E-02      2.07968E+02      1.18381E+01
  152      1.26086E-02      2.06368E+02      1.00163E+01
  153      1.00657E-02      2.05655E+02      1.17809E+01
  154      8.47637E-03      2.05438E+02      1.48930E+01
  155      6.46323E-03      2.05756E+02      1.84078E+01
  156      6.35728E-03      2.07785E+02      1.31407E+01
  157      4.34414E-03      2.05378E+02      1.29182E+01
  158      5.08582E-03      2.08061E+02      1.05733E+01
  159      3.49650E-03      2.06270E+02      1.62187E+01
  160      3.17864E-03      2.02316E+02      7.88877E+00
  161      2.86078E-03      2.07313E+02      1.11243E+01
  162      2.43696E-03      2.01359E+02      1.07384E+01
  163      2.01314E-03      2.00632E+02      1.14321E+01
  164      1.16550E-03      2.00085E+02      5.90836E+00
  165      1.05955E-03      1.98318E+02      1.22388E+01
  166      1.05955E-03      2.05122E+02      1.41233E+01
  167      5.29773E-04      1.98494E+02      9.51892E+00
  168      5.29773E-04      1.94654E+02      1.23126E+01
  169      7.41683E-04      1.92108E+02      5.87979E+00
  170      2.11909E-04      1.92322E+02      1.00000E+01
  171      1.05955E-04      1.90099E+02      1.00000E+01
  172      2.11909E-04      1.87699E+02      1.00000E+01
  174      2.11909E-04      1.82328E+02      1.00000E+01
  177      1.05955E-04      1.72517E+02      1.00000E+01
