# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 104-Rf-284
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  142      1.56294E-01      2.34188E+02      8.32986E+00
  143      1.42878E-01      2.34755E+02      8.42509E+00
  144      1.63331E-01      2.33567E+02      8.34666E+00
  145      1.52995E-01      2.33295E+02      8.17376E+00
  146      1.02045E-01      2.33818E+02      8.19239E+00
  147      6.72971E-02      2.33169E+02      8.59474E+00
  148      5.33685E-02      2.33070E+02      8.31875E+00
  149      3.73140E-02      2.32653E+02      8.87491E+00
  150      3.04963E-02      2.31716E+02      8.78164E+00
  151      1.68609E-02      2.31642E+02      8.42326E+00
  152      1.05564E-02      2.28121E+02      2.77256E+01
  153      5.13159E-03      2.14188E+02      2.05999E+01
  154      4.10527E-03      2.14986E+02      1.81019E+01
  155      3.44550E-03      2.08611E+02      3.16543E+01
  156      3.37219E-03      2.01197E+02      1.64866E+01
  157      2.71241E-03      1.99385E+02      1.30734E+01
  158      1.90602E-03      1.97225E+02      1.77752E+01
  159      1.02632E-03      1.97983E+02      6.44213E+00
  160      1.83271E-03      1.97378E+02      1.47204E+01
  161      1.31955E-03      2.03006E+02      1.16723E+01
  162      8.79701E-04      1.97898E+02      1.27198E+01
  163      1.39286E-03      1.94624E+02      1.89682E+01
  164      5.86467E-04      1.96640E+02      6.57381E+00
  165      1.09963E-03      1.99415E+02      1.08255E+01
  166      2.12594E-03      1.94242E+02      2.60324E+01
  167      1.31955E-03      1.99575E+02      1.06419E+01
  168      1.24624E-03      2.00657E+02      1.14849E+01
  169      1.31955E-03      1.94206E+02      9.54965E+00
  170      1.09963E-03      1.99829E+02      9.61346E+00
  171      1.39286E-03      1.93914E+02      1.05392E+01
  172      1.61278E-03      1.92457E+02      8.19934E+00
  173      1.90602E-03      1.84076E+02      2.11001E+01
  174      1.17293E-03      1.90818E+02      8.31946E+00
  175      1.31955E-03      1.87245E+02      1.03769E+01
  176      5.13159E-04      1.88043E+02      3.09506E+00
  177      9.53009E-04      1.85266E+02      1.11441E+01
  178      5.13159E-04      1.88925E+02      8.37342E+00
  179      5.13159E-04      1.83443E+02      1.07889E+01
  180      5.13159E-04      1.86318E+02      1.25006E+01
  181      2.93234E-04      1.90007E+02      1.00000E+01
  182      5.13159E-04      1.79928E+02      1.57485E+01
  183      3.66542E-04      1.89560E+02      1.46560E+01
  184      1.46617E-04      1.92362E+02      1.00000E+01
  185      2.19925E-04      1.93190E+02      1.00000E+01
  186      2.93234E-04      1.94005E+02      1.00000E+01
  187      5.86467E-04      1.92282E+02      1.61773E+01
  188      1.46617E-04      1.95516E+02      1.00000E+01
  189      2.19925E-04      1.96170E+02      1.00000E+01
  190      4.39850E-04      2.01227E+02      1.99294E+01
  191      2.19925E-04      1.97172E+02      1.00000E+01
  192      4.39850E-04      2.07023E+02      1.41500E+01
  193      8.79701E-04      2.08277E+02      1.25159E+01
  194      1.46617E-03      2.03126E+02      7.35428E+00
  195      1.83271E-03      2.02614E+02      1.24204E+01
  196      2.05264E-03      1.93206E+02      2.25987E+01
  197      1.24624E-03      1.94910E+02      9.23909E+00
  198      1.46617E-03      1.94811E+02      1.14035E+01
  199      1.90602E-03      1.93719E+02      2.10814E+01
  200      1.68609E-03      1.96546E+02      9.66325E+00
  201      1.75940E-03      1.93813E+02      1.23016E+01
  202      5.13159E-04      1.92535E+02      9.80329E+00
  203      7.33084E-04      1.83923E+02      1.21326E+01
  204      3.66542E-04      1.75624E+02      1.68472E+01
  205      7.33084E-05      1.85254E+02      1.00000E+01
  206      1.46617E-04      1.83307E+02      1.00000E+01
  208      1.46617E-04      1.79495E+02      1.00000E+01
  212      7.33084E-05      1.74269E+02      1.00000E+01
