# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 118-Og-298
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  149      3.34328E-02      2.85178E+02      3.07599E+01
  150      3.46269E-02      2.82914E+02      1.65238E+01
  151      3.78109E-02      2.83286E+02      1.68390E+01
  152      4.15920E-02      2.83287E+02      1.34096E+01
  153      3.58209E-02      2.85229E+02      1.70419E+01
  154      4.19900E-02      2.82484E+02      1.50067E+01
  155      3.46269E-02      2.78497E+02      1.71522E+01
  156      3.78109E-02      2.83552E+02      1.38710E+01
  157      3.28358E-02      2.82995E+02      1.54692E+01
  158      3.20398E-02      2.81435E+02      1.27871E+01
  159      2.60697E-02      2.82288E+02      1.17277E+01
  160      1.97015E-02      2.77822E+02      2.77354E+01
  161      1.45274E-02      2.79471E+02      2.76599E+01
  162      1.25373E-02      2.74771E+02      2.10328E+01
  163      1.09453E-02      2.71299E+02      2.38314E+01
  164      5.57214E-03      2.70967E+02      1.96894E+01
  165      7.16418E-03      2.69529E+02      2.13921E+01
  166      4.97512E-03      2.56060E+02      3.24043E+01
  167      4.37811E-03      2.64650E+02      1.97207E+01
  168      3.38308E-03      2.55413E+02      1.91209E+01
  169      3.78109E-03      2.58730E+02      2.20866E+01
  170      3.98010E-03      2.58966E+02      1.71674E+01
  171      2.98507E-03      2.53217E+02      1.72139E+01
  172      5.17413E-03      2.51296E+02      2.06431E+01
  173      4.77612E-03      2.55064E+02      1.83065E+01
  174      5.97015E-03      2.50834E+02      2.17533E+01
  175      7.96020E-03      2.50730E+02      1.55820E+01
  176      5.77114E-03      2.46415E+02      1.77242E+01
  177      5.57214E-03      2.49779E+02      1.41253E+01
  178      3.98010E-03      2.46016E+02      2.14038E+01
  179      7.16418E-03      2.51349E+02      2.16239E+01
  180      6.56716E-03      2.45505E+02      1.31478E+01
  181      6.16915E-03      2.47372E+02      2.38325E+01
  182      4.97512E-03      2.53714E+02      2.01399E+01
  183      5.17413E-03      2.54834E+02      2.20150E+01
  184      5.97015E-03      2.58201E+02      2.05994E+01
  185      6.16915E-03      2.54751E+02      1.69381E+01
  186      4.57711E-03      2.61804E+02      1.75200E+01
  187      5.17413E-03      2.58289E+02      1.47269E+01
  188      6.96517E-03      2.57986E+02      1.82685E+01
  189      4.37811E-03      2.63641E+02      1.27000E+01
  190      6.56716E-03      2.59085E+02      1.34145E+01
  191      8.35821E-03      2.65403E+02      1.49339E+01
  192      7.96020E-03      2.63806E+02      2.49490E+01
  193      8.15920E-03      2.66921E+02      1.60147E+01
  194      9.35323E-03      2.58775E+02      2.32985E+01
  195      1.45274E-02      2.66246E+02      1.74246E+01
  196      1.19403E-02      2.61112E+02      1.57403E+01
  197      1.33333E-02      2.63175E+02      1.71973E+01
  198      1.69154E-02      2.62450E+02      1.45376E+01
  199      1.47264E-02      2.61730E+02      2.86367E+01
  200      1.43284E-02      2.56807E+02      2.31083E+01
  201      1.85075E-02      2.62032E+02      3.00598E+01
  202      2.38806E-02      2.58901E+02      1.42508E+01
  203      2.94527E-02      2.57509E+02      1.80298E+01
  204      2.92537E-02      2.55828E+02      1.46110E+01
  205      3.16418E-02      2.53065E+02      1.47195E+01
  206      3.34328E-02      2.53962E+02      1.94570E+01
  207      2.22886E-02      2.48030E+02      2.34578E+01
  208      2.22886E-02      2.52015E+02      1.90339E+01
  209      2.06965E-02      2.42785E+02      2.40488E+01
  210      1.93035E-02      2.44415E+02      2.26826E+01
  211      1.43284E-02      2.42287E+02      2.26830E+01
  212      8.75622E-03      2.37136E+02      2.11667E+01
  213      5.97015E-03      2.31458E+02      1.75585E+01
  214      3.38308E-03      2.27106E+02      1.61681E+01
  215      1.99005E-03      2.38227E+02      1.31311E+01
  216      1.79104E-03      2.19607E+02      1.43114E+01
  217      9.95025E-04      2.27737E+02      2.25635E+01
  218      5.97015E-04      2.29087E+02      1.00000E+01
  220      1.99005E-04      2.35551E+02      1.00000E+01
