# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 102-No-256
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  128      1.07922E-02      2.34253E+02      1.80407E+01
  129      1.00564E-02      2.38738E+02      1.27947E+01
  130      1.10375E-02      2.33112E+02      1.54543E+01
  131      1.22639E-02      2.31265E+02      1.91958E+01
  132      1.39809E-02      2.28341E+02      3.08540E+01
  133      1.47167E-02      2.34520E+02      2.60289E+01
  134      1.96223E-02      2.22851E+02      1.67886E+01
  135      2.77165E-02      2.22401E+02      2.59048E+01
  136      4.21879E-02      2.19800E+02      1.94665E+01
  137      5.07726E-02      2.11956E+02      1.50871E+01
  138      5.22443E-02      2.10920E+02      1.82000E+01
  139      6.35271E-02      2.10431E+02      1.13807E+01
  140      7.84891E-02      2.07971E+02      1.07791E+01
  141      1.00564E-01      2.05978E+02      1.05342E+01
  142      8.38852E-02      2.04639E+02      9.62536E+00
  143      8.02060E-02      2.04427E+02      1.05835E+01
  144      6.35271E-02      2.02884E+02      1.15993E+01
  145      6.13196E-02      2.02866E+02      9.18636E+00
  146      5.64140E-02      2.02276E+02      1.06457E+01
  147      3.43390E-02      2.01279E+02      9.95656E+00
  148      2.37920E-02      2.01563E+02      1.03369E+01
  149      1.47167E-02      2.04250E+02      1.17383E+01
  150      1.32450E-02      1.97419E+02      1.14461E+01
  151      7.84891E-03      2.02994E+02      1.70509E+01
  152      7.35835E-03      2.04985E+02      1.14880E+01
  153      5.88668E-03      1.97887E+02      1.78352E+01
  154      5.39612E-03      2.00465E+02      1.11852E+01
  155      5.15085E-03      1.98390E+02      2.21388E+01
  156      4.66029E-03      2.04965E+02      1.90334E+01
  157      4.16973E-03      2.03939E+02      1.55751E+01
  158      3.18862E-03      1.96941E+02      7.57943E+00
  159      5.15085E-03      2.00668E+02      1.18493E+01
  160      1.71695E-03      1.94701E+02      5.93022E+00
  161      1.96223E-03      2.00317E+02      9.25080E+00
  162      2.94334E-03      1.86206E+02      1.95678E+01
  163      1.22639E-03      1.88308E+02      1.52458E+01
  164      1.71695E-03      1.90310E+02      1.07513E+01
  165      4.90557E-04      1.88610E+02      1.00000E+01
  166      2.45278E-04      1.86808E+02      1.00000E+01
  167      2.45278E-04      1.85101E+02      1.00000E+01
  168      2.45278E-04      1.83557E+02      1.00000E+01
  170      4.90557E-04      1.81275E+02      1.00000E+01
  173      4.90557E-04      1.81162E+02      1.00000E+01
