# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 102-No-248
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  124      5.67875E-03      1.99921E+02      1.84774E+01
  125      5.67875E-03      1.95925E+02      1.90025E+01
  126      7.57166E-03      2.01733E+02      1.69268E+01
  127      5.67875E-03      1.96603E+02      3.24034E+01
  128      7.84208E-03      1.99490E+02      3.35883E+01
  129      1.05462E-02      2.05810E+02      2.80684E+01
  130      1.20335E-02      2.04264E+02      1.74613E+01
  131      1.94700E-02      2.05953E+02      2.14079E+01
  132      2.65008E-02      2.09248E+02      2.50265E+01
  133      3.05571E-02      2.09645E+02      1.56287E+01
  134      4.09681E-02      2.10944E+02      1.51002E+01
  135      4.85398E-02      2.10149E+02      1.45072E+01
  136      6.77393E-02      2.11737E+02      1.31473E+01
  137      6.74689E-02      2.11719E+02      1.29666E+01
  138      7.11195E-02      2.11425E+02      1.21991E+01
  139      7.36885E-02      2.11145E+02      1.28300E+01
  140      7.93672E-02      2.10547E+02      1.37857E+01
  141      8.18010E-02      2.10964E+02      1.26229E+01
  142      6.90914E-02      2.12072E+02      1.18725E+01
  143      5.94916E-02      2.08369E+02      1.19437E+01
  144      4.48891E-02      2.08768E+02      1.30303E+01
  145      3.12331E-02      2.08806E+02      1.19360E+01
  146      3.09627E-02      2.08584E+02      9.85892E+00
  147      2.20389E-02      2.07763E+02      1.37930E+01
  148      1.51433E-02      2.05487E+02      1.19848E+01
  149      1.36560E-02      2.05651E+02      1.34230E+01
  150      1.05462E-02      2.03839E+02      1.68611E+01
  151      8.38291E-03      2.03188E+02      2.86332E+01
  152      5.67875E-03      2.01680E+02      1.68258E+01
  153      5.00270E-03      2.01940E+02      1.18672E+01
  154      4.05625E-03      1.98905E+02      2.09750E+01
  155      3.78583E-03      1.98374E+02      1.25074E+01
  156      1.89292E-03      1.95260E+02      9.25833E+00
  157      2.70416E-03      1.92498E+02      1.05094E+01
  158      2.70416E-03      1.91272E+02      1.31129E+01
  159      8.11249E-04      1.96237E+02      1.30119E+01
  160      6.76041E-04      1.92827E+02      9.74876E+00
  161      1.21687E-03      1.90258E+02      1.12515E+01
  162      6.76041E-04      1.87371E+02      1.23127E+01
  163      4.05625E-04      1.87492E+02      1.00000E+01
  164      1.08167E-03      1.85367E+02      1.20689E+01
  165      8.11249E-04      1.86935E+02      9.71397E+00
  166      2.70416E-04      1.84466E+02      1.00000E+01
  168      2.70416E-04      1.81147E+02      1.00000E+01
  170      1.35208E-04      1.75306E+02      1.00000E+01
  172      1.35208E-04      1.65042E+02      1.00000E+01
