# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 94-Pu-242
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  121      4.25532E-03      1.59478E+02      1.00000E+01
  123      2.12766E-03      1.64205E+02      1.00000E+01
  124      1.06383E-03      1.67215E+02      1.00000E+01
  126      3.19149E-03      1.73609E+02      1.00000E+01
  127      4.25532E-03      1.76661E+02      1.00000E+01
  128      3.19149E-03      1.79442E+02      1.00000E+01
  129      2.12766E-03      1.81858E+02      1.00000E+01
  130      1.17021E-02      1.92690E+02      8.80330E+00
  131      9.57447E-03      1.86949E+02      8.50703E+00
  132      2.76596E-02      1.87770E+02      8.66894E+00
  133      6.70213E-02      1.87315E+02      9.28727E+00
  134      7.97872E-02      1.87185E+02      6.59033E+00
  135      7.76596E-02      1.88474E+02      1.05546E+01
  136      9.78723E-02      1.84819E+02      1.02456E+01
  137      1.24468E-01      1.85052E+02      8.12841E+00
  138      1.22340E-01      1.83816E+02      8.62190E+00
  139      7.97872E-02      1.85511E+02      1.02747E+01
  140      6.38298E-02      1.82075E+02      6.83360E+00
  141      5.74468E-02      1.85111E+02      9.41732E+00
  142      3.40426E-02      1.77305E+02      1.46575E+01
  143      2.97872E-02      1.78946E+02      1.37309E+01
  144      1.70213E-02      1.80974E+02      8.42462E+00
  145      1.59574E-02      1.79731E+02      6.60076E+00
  146      5.31915E-03      1.81829E+02      6.34101E+00
  147      1.38298E-02      1.74480E+02      9.60277E+00
  148      4.25532E-03      1.74123E+02      1.00000E+01
  149      5.31915E-03      1.80925E+02      6.70795E+00
  150      6.38298E-03      1.68472E+02      3.87816E+00
  151      8.51064E-03      1.75231E+02      8.35552E+00
  152      4.25532E-03      1.68988E+02      1.00000E+01
  153      3.19149E-03      1.67703E+02      1.00000E+01
  154      4.25532E-03      1.66417E+02      1.00000E+01
  155      4.25532E-03      1.65131E+02      1.00000E+01
  157      2.12766E-03      1.62558E+02      1.00000E+01
  162      1.06383E-03      1.56127E+02      1.00000E+01
  165      1.06383E-03      1.52268E+02      1.00000E+01
