# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 94-Pu-270
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  135      1.27565E-01      1.96729E+02      8.19741E+00
  136      1.31896E-01      1.96957E+02      8.00542E+00
  137      1.35196E-01      1.96147E+02      8.05196E+00
  138      1.28132E-01      1.96292E+02      8.38202E+00
  139      9.11107E-02      1.96026E+02      9.40739E+00
  140      7.25482E-02      1.94924E+02      9.01039E+00
  141      5.69764E-02      1.93224E+02      1.40185E+01
  142      4.93967E-02      1.91637E+02      1.49333E+01
  143      3.89296E-02      1.86915E+02      1.78730E+01
  144      2.24296E-02      1.83044E+02      1.75734E+01
  145      1.78406E-02      1.76036E+02      1.37744E+01
  146      1.39218E-02      1.73221E+02      1.14223E+01
  147      1.08797E-02      1.71498E+02      8.24330E+00
  148      9.69372E-03      1.71386E+02      9.45084E+00
  149      7.63123E-03      1.72032E+02      9.05690E+00
  150      5.56873E-03      1.71999E+02      1.22819E+01
  151      4.58905E-03      1.68830E+02      1.32592E+01
  152      4.74374E-03      1.70390E+02      1.04682E+01
  153      2.93905E-03      1.67241E+02      1.11411E+01
  154      3.09374E-03      1.65318E+02      1.11472E+01
  155      2.99062E-03      1.70260E+02      8.44432E+00
  156      3.29999E-03      1.68081E+02      6.97725E+00
  157      3.04218E-03      1.65925E+02      8.27926E+00
  158      2.88749E-03      1.67613E+02      1.47035E+01
  159      2.52655E-03      1.67790E+02      9.51772E+00
  160      2.73280E-03      1.63379E+02      9.63404E+00
  161      2.42343E-03      1.63818E+02      9.34272E+00
  162      2.83593E-03      1.65477E+02      1.03163E+01
  163      3.09374E-03      1.60248E+02      1.04371E+01
  164      3.19687E-03      1.62330E+02      1.95327E+01
  165      2.52655E-03      1.63407E+02      1.25064E+01
  166      2.88749E-03      1.58249E+02      1.15917E+01
  167      2.42343E-03      1.60725E+02      1.39670E+01
  168      2.52655E-03      1.57943E+02      1.36916E+01
  169      2.42343E-03      1.58711E+02      1.07910E+01
  170      2.73280E-03      1.55601E+02      1.20979E+01
  171      2.21718E-03      1.58251E+02      1.86091E+01
  172      2.01093E-03      1.54761E+02      1.21645E+01
  173      1.54687E-03      1.57177E+02      1.20872E+01
  174      1.34062E-03      1.51946E+02      1.14597E+01
  175      9.79684E-04      1.54179E+02      6.86390E+00
  176      1.28906E-03      1.55733E+02      8.56409E+00
  177      1.34062E-03      1.52631E+02      1.07100E+01
  178      1.39218E-03      1.49983E+02      1.77560E+01
  179      1.18593E-03      1.52905E+02      1.04311E+01
  180      1.59843E-03      1.50747E+02      9.08148E+00
  181      9.79684E-04      1.50435E+02      1.29152E+01
  182      9.79684E-04      1.51470E+02      1.20661E+01
  183      5.67186E-04      1.53243E+02      1.53346E+01
  184      6.70310E-04      1.50052E+02      1.12381E+01
  185      4.64061E-04      1.59405E+02      1.52988E+01
  186      5.67186E-04      1.52023E+02      1.20512E+01
  187      3.60936E-04      1.64964E+02      1.39159E+01
  188      1.03125E-04      1.56233E+02      1.00000E+01
  189      2.06249E-04      1.57054E+02      1.00000E+01
  190      2.06249E-04      1.57620E+02      1.00000E+01
  191      2.06249E-04      1.57785E+02      1.00000E+01
  192      1.03125E-04      1.57377E+02      1.00000E+01
  195      5.15623E-05      1.50516E+02      1.00000E+01
