# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 116-Lv-282
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  141      9.41016E-02      2.75913E+02      1.80632E+01
  142      8.90088E-02      2.74238E+02      1.86608E+01
  143      8.97689E-02      2.74382E+02      1.91413E+01
  144      8.25479E-02      2.75165E+02      1.77585E+01
  145      7.42627E-02      2.72293E+02      1.72795E+01
  146      6.53694E-02      2.71199E+02      1.93673E+01
  147      5.70082E-02      2.71924E+02      1.75553E+01
  148      4.94071E-02      2.71116E+02      1.76531E+01
  149      4.55306E-02      2.71079E+02      1.78991E+01
  150      3.76254E-02      2.69574E+02      1.65387E+01
  151      3.08604E-02      2.70033E+02      1.72826E+01
  152      2.89602E-02      2.67384E+02      1.72425E+01
  153      2.53116E-02      2.66158E+02      1.85097E+01
  154      2.08270E-02      2.67818E+02      1.85069E+01
  155      2.09790E-02      2.65159E+02      1.85879E+01
  156      1.72545E-02      2.62981E+02      2.09112E+01
  157      1.45181E-02      2.55596E+02      2.13941E+01
  158      1.32259E-02      2.62171E+02      1.76145E+01
  159      1.24658E-02      2.63074E+02      2.39758E+01
  160      1.33019E-02      2.58216E+02      2.26752E+01
  161      1.20097E-02      2.57551E+02      2.17609E+01
  162      9.19732E-03      2.53633E+02      2.18000E+01
  163      9.72940E-03      2.56745E+02      2.44018E+01
  164      8.89328E-03      2.55786E+02      2.26034E+01
  165      8.05716E-03      2.48603E+02      2.10616E+01
  166      6.76497E-03      2.49985E+02      2.36837E+01
  167      5.24476E-03      2.41902E+02      3.49208E+01
  168      4.56066E-03      2.50791E+02      2.14768E+01
  169      4.10459E-03      2.48158E+02      1.71548E+01
  170      3.42049E-03      2.52076E+02      1.71042E+01
  171      2.88842E-03      2.51237E+02      1.74323E+01
  172      2.20432E-03      2.50830E+02      2.27339E+01
  173      2.12831E-03      2.44568E+02      2.07393E+01
  174      1.82426E-03      2.47437E+02      1.79492E+01
  175      1.67224E-03      2.43028E+02      1.39333E+01
  176      1.59623E-03      2.44252E+02      1.52733E+01
  177      1.67224E-03      2.43311E+02      1.35933E+01
  178      1.44421E-03      2.48083E+02      1.28992E+01
  179      9.12131E-04      2.39016E+02      1.52795E+01
  180      6.08088E-04      2.42427E+02      2.33112E+01
  181      6.08088E-04      2.47176E+02      1.51992E+01
  182      2.28033E-04      2.46433E+02      1.00000E+01
  183      3.04044E-04      2.46372E+02      1.00000E+01
  184      5.32077E-04      2.43525E+02      9.45119E+00
  185      1.52022E-04      2.46118E+02      1.00000E+01
  186      2.28033E-04      2.45905E+02      1.00000E+01
  187      3.04044E-04      2.45621E+02      1.00000E+01
  188      6.08088E-04      2.60127E+02      1.38753E+01
  189      1.52022E-04      2.44804E+02      1.00000E+01
  191      7.60109E-05      2.43598E+02      1.00000E+01
  192      2.28033E-04      2.42830E+02      1.00000E+01
  193      7.60109E-05      2.41945E+02      1.00000E+01
  194      3.80055E-04      2.31696E+02      1.41258E+01
  195      3.80055E-04      2.43699E+02      1.50182E+01
  196      5.32077E-04      2.36822E+02      1.33291E+01
  197      4.56066E-04      2.31967E+02      9.96141E+00
  198      6.84099E-04      2.40095E+02      1.43981E+01
  199      9.12131E-04      2.27090E+02      1.55439E+01
  200      1.36820E-03      2.32087E+02      2.63175E+01
  201      1.06415E-03      2.27505E+02      1.92075E+01
  202      1.21618E-03      2.28637E+02      1.11336E+01
  203      1.74825E-03      2.18612E+02      1.34568E+01
  204      1.29219E-03      2.26863E+02      9.54054E+00
  205      2.88842E-03      2.21197E+02      3.24221E+01
  206      2.12831E-03      2.20828E+02      1.43569E+01
  207      2.20432E-03      2.13861E+02      1.35610E+01
  208      1.97628E-03      2.13749E+02      1.55706E+01
  209      1.36820E-03      2.14290E+02      1.56774E+01
  210      1.44421E-03      2.11649E+02      1.43582E+01
  211      1.74825E-03      2.05082E+02      1.27359E+01
  212      4.56066E-04      2.05836E+02      7.90590E+00
  213      3.80055E-04      2.07777E+02      1.06896E+01
  214      7.60109E-05      2.03405E+02      1.00000E+01
  215      1.52022E-04      2.02167E+02      1.00000E+01
  216      7.60109E-05      2.01271E+02      1.00000E+01
  217      1.52022E-04      2.00778E+02      1.00000E+01
  218      1.52022E-04      2.00755E+02      1.00000E+01
