# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 110-Ds-278
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  139      1.46749E-01      2.68389E+02      1.07456E+01
  140      1.59913E-01      2.67251E+02      1.05122E+01
  141      1.64377E-01      2.66807E+02      1.04003E+01
  142      1.40682E-01      2.67219E+02      1.04628E+01
  143      8.68819E-02      2.65541E+02      1.11722E+01
  144      6.06685E-02      2.64280E+02      1.04242E+01
  145      4.71612E-02      2.63338E+02      1.29082E+01
  146      3.04487E-02      2.60775E+02      1.85111E+01
  147      2.73581E-02      2.59198E+02      1.23783E+01
  148      1.71703E-02      2.50789E+02      3.00261E+01
  149      1.04167E-02      2.47362E+02      1.91699E+01
  150      8.47070E-03      2.41516E+02      1.98192E+01
  151      7.09707E-03      2.45823E+02      3.02298E+01
  152      5.83791E-03      2.36792E+02      1.72126E+01
  153      4.80769E-03      2.34492E+02      1.78101E+01
  154      4.12088E-03      2.21457E+02      2.93691E+01
  155      4.69322E-03      2.25624E+02      1.51644E+01
  156      4.12088E-03      2.26582E+02      1.51971E+01
  157      3.20513E-03      2.15296E+02      1.53856E+01
  158      4.23535E-03      2.20840E+02      1.46480E+01
  159      5.60897E-03      2.19737E+02      1.33360E+01
  160      3.66300E-03      2.22145E+02      1.11881E+01
  161      3.66300E-03      2.19003E+02      1.56160E+01
  162      4.12088E-03      2.22560E+02      1.50854E+01
  163      3.66300E-03      2.22261E+02      1.19988E+01
  164      2.40385E-03      2.17914E+02      1.21922E+01
  165      4.23535E-03      2.17700E+02      1.19900E+01
  166      2.28938E-03      2.16857E+02      1.36186E+01
  167      2.51832E-03      2.20332E+02      1.73703E+01
  168      1.71703E-03      2.10794E+02      1.45720E+01
  169      8.01282E-04      2.03096E+02      1.25420E+01
  170      1.03022E-03      2.12271E+02      1.35585E+01
  171      6.86813E-04      2.18439E+02     -2.92781E+00
  172      1.60256E-03      2.21213E+02      1.55755E+01
  173      3.43407E-04      2.10973E+02      1.00000E+01
  174      3.43407E-04      2.11080E+02      1.00000E+01
  175      1.14469E-04      2.11260E+02      1.00000E+01
  176      2.28938E-04      2.11501E+02      1.00000E+01
  177      6.86813E-04      2.17203E+02      1.70243E+01
  178      4.57875E-04      2.12121E+02      1.00000E+01
  179      2.28938E-04      2.12474E+02      1.00000E+01
  180      3.43407E-04      2.12839E+02      1.00000E+01
  181      1.14469E-04      2.13204E+02      1.00000E+01
  182      2.28938E-04      2.13556E+02      1.00000E+01
  183      1.14469E-04      2.13883E+02      1.00000E+01
  185      1.14469E-04      2.14416E+02      1.00000E+01
  186      1.14469E-04      2.14599E+02      1.00000E+01
  187      1.14469E-04      2.14713E+02      1.00000E+01
  190      1.14469E-04      2.14549E+02      1.00000E+01
  191      1.14469E-04      2.14299E+02      1.00000E+01
  194      2.28938E-04      2.12893E+02      1.00000E+01
  195      5.72344E-04      2.16238E+02      2.78614E+00
  196      6.86813E-04      2.13553E+02      1.29700E+01
  197      6.86813E-04      2.10343E+02      1.25717E+01
  198      1.03022E-03      2.08713E+02      1.55878E+01
  199      8.01282E-04      2.10289E+02      1.04613E+01
  200      1.25916E-03      2.11339E+02      1.44718E+01
  201      2.06044E-03      2.03907E+02      1.08973E+01
  202      1.14469E-03      2.05666E+02      1.23632E+01
  203      2.06044E-03      2.06958E+02      1.46628E+01
  204      2.17491E-03      2.00645E+02      1.26226E+01
  205      1.03022E-03      2.05801E+02      1.02480E+01
  206      1.83150E-03      1.93438E+02      1.27217E+01
  207      1.37363E-03      1.93469E+02      1.32911E+01
  208      1.03022E-03      1.83482E+02      1.71899E+01
  209      8.01282E-04      1.96532E+02      1.13280E+01
  210      5.72344E-04      1.90415E+02      1.17588E+01
  211      2.28938E-04      1.91855E+02      1.00000E+01
  213      1.14469E-04      1.90417E+02      1.00000E+01
  214      1.14469E-04      1.90125E+02      1.00000E+01
