# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 100-Fm-242
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  121      7.81832E-03      1.87728E+02      1.40229E+01
  122      9.21445E-03      1.87858E+02      1.93321E+01
  123      1.13552E-02      1.91791E+02      1.81018E+01
  124      1.09829E-02      1.89784E+02      1.92895E+01
  125      1.40544E-02      1.92086E+02      1.51926E+01
  126      1.43336E-02      1.95059E+02      1.90629E+01
  127      2.05696E-02      1.96121E+02      1.28736E+01
  128      2.29896E-02      1.97166E+02      1.36662E+01
  129      2.86672E-02      2.00392E+02      1.32943E+01
  130      3.14594E-02      2.00528E+02      1.07295E+01
  131      3.39724E-02      2.00793E+02      1.15655E+01
  132      4.21631E-02      2.02564E+02      1.38536E+01
  133      4.82130E-02      2.03084E+02      1.22873E+01
  134      4.92368E-02      2.03162E+02      1.32046E+01
  135      5.73343E-02      2.04988E+02      1.21375E+01
  136      5.93820E-02      2.06364E+02      1.24140E+01
  137      6.89687E-02      2.06966E+02      1.14943E+01
  138      7.53909E-02      2.07282E+02      1.24500E+01
  139      6.55249E-02      2.07930E+02      1.24612E+01
  140      6.21742E-02      2.06416E+02      1.23417E+01
  141      5.44490E-02      2.06245E+02      1.20786E+01
  142      4.96091E-02      2.06003E+02      1.12877E+01
  143      3.91847E-02      2.05153E+02      1.16510E+01
  144      2.80156E-02      2.03211E+02      1.20635E+01
  145      2.08488E-02      2.03707E+02      1.25671E+01
  146      1.86150E-02      2.02909E+02      1.10506E+01
  147      1.13552E-02      2.02619E+02      1.50769E+01
  148      9.77290E-03      1.97904E+02      1.75097E+01
  149      6.32911E-03      1.97985E+02      1.18624E+01
  150      5.21221E-03      1.96766E+02      2.03797E+01
  151      3.81608E-03      1.87407E+02      1.98366E+01
  152      5.11914E-03      1.88735E+02      2.34476E+01
  153      2.23380E-03      1.87438E+02      1.25388E+01
  154      1.76843E-03      1.87084E+02      1.32689E+01
  155      1.86150E-03      1.84250E+02      1.43678E+01
  156      1.86150E-03      1.79788E+02      1.81187E+01
  157      1.48920E-03      1.81781E+02      6.98669E+00
  158      1.02383E-03      1.78102E+02      1.86858E+01
  159      1.02383E-03      1.77515E+02      1.00460E+01
  160      6.51526E-04      1.77234E+02      9.90368E+00
  161      5.58451E-04      1.77814E+02      7.23893E+00
  162      3.72301E-04      1.74286E+02      1.00000E+01
  163      1.86150E-04      1.72569E+02      1.00000E+01
  164      9.30752E-05      1.70850E+02      1.00000E+01
  165      1.86150E-04      1.69131E+02      1.00000E+01
  166      1.86150E-04      1.67412E+02      1.00000E+01
  167      2.79226E-04      1.65692E+02      1.00000E+01
  168      9.30752E-05      1.63972E+02      1.00000E+01
