# Source                  : 4D Langevin model
# Author                  : C. Ishizuka at al.
# Institute               : Tokyo Institute of Technology
# Reference               : Phys.Rev.C.96.064616 (2017)
# doi                     : http://dx.doi.org/10.1103/PhysRevC.96.064616
# Description             : Y(A, TKE, dTKE) by Gaussian fitting.
# License                 : CC BY-SA-4.0
# Compound                : 98-Cf-282
# Excitation Energy (MeV) : 10.0 MeV
#  A       Yield            Mean TKE         dTKE
  141      1.11773E-01      2.05717E+02      9.39853E+00
  142      1.14679E-01      2.05602E+02      9.23053E+00
  143      1.17347E-01      2.05038E+02      9.80130E+00
  144      1.17490E-01      2.04838E+02      9.57922E+00
  145      9.62409E-02      2.04731E+02      1.01027E+01
  146      8.18524E-02      2.03687E+02      1.03512E+01
  147      7.32765E-02      2.03375E+02      1.11039E+01
  148      6.47482E-02      2.03542E+02      1.10232E+01
  149      5.57435E-02      2.02044E+02      1.18067E+01
  150      3.86869E-02      2.01763E+02      1.15879E+01
  151      2.53466E-02      1.98443E+02      1.62171E+01
  152      1.80094E-02      1.94447E+02      2.00300E+01
  153      1.21492E-02      1.93660E+02      1.96889E+01
  154      9.57644E-03      1.91430E+02      2.05506E+01
  155      7.57540E-03      1.84607E+02      2.02097E+01
  156      4.28796E-03      1.81607E+02      2.86657E+01
  157      3.85916E-03      1.80066E+02      1.68050E+01
  158      2.52513E-03      1.79014E+02      2.51200E+01
  159      2.19162E-03      1.79972E+02      2.39121E+01
  160      2.66806E-03      1.80534E+02      1.55723E+01
  161      2.62042E-03      1.77148E+02      9.35490E+00
  162      1.57225E-03      1.82931E+02      2.50134E+01
  163      1.19110E-03      1.77697E+02      9.68868E+00
  164      1.09581E-03      1.74240E+02      7.91971E+00
  165      1.47696E-03      1.72717E+02      1.39732E+01
  166      1.28639E-03      1.74579E+02      1.27863E+01
  167      1.52461E-03      1.75400E+02      1.71010E+01
  168      1.47696E-03      1.75235E+02      9.24416E+00
  169      1.47696E-03      1.82803E+02      2.04106E+01
  170      1.42932E-03      1.76671E+02      1.51990E+01
  171      1.04817E-03      1.66702E+02      1.94102E+01
  172      1.33403E-03      1.65411E+02      2.01139E+01
  173      1.33403E-03      1.68897E+02      9.88723E+00
  174      1.33403E-03      1.71395E+02      1.11603E+01
  175      8.09948E-04      1.68086E+02      9.64738E+00
  176      1.85812E-03      1.71648E+02      2.26027E+01
  177      1.28639E-03      1.57545E+02      1.32150E+01
  178      1.04817E-03      1.56531E+02      2.03577E+01
  179      1.14346E-03      1.63842E+02      2.10165E+01
  180      1.14346E-03      1.63624E+02      1.18158E+01
  181      1.00052E-03      1.61509E+02      1.67819E+01
  182      6.67016E-04      1.55612E+02      8.08575E+00
  183      9.05236E-04      1.60641E+02      9.36293E+00
  184      4.76440E-04      1.63244E+02      1.58804E+01
  185      8.09948E-04      1.58958E+02      1.28917E+01
  186      4.76440E-04      1.59316E+02      1.46642E+01
  187      6.67016E-04      1.62723E+02      1.63727E+01
  188      1.14346E-03      1.68422E+02      1.75711E+01
  189      9.05236E-04      1.69180E+02      2.05862E+01
  190      5.24084E-04      1.65269E+02      1.54879E+01
  191      6.67016E-04      1.68470E+02      1.63149E+01
  192      8.57592E-04      1.80228E+02      8.45187E+00
  193      8.09948E-04      1.77242E+02      7.92251E+00
  194      8.09948E-04      1.78301E+02      1.19018E+01
  195      7.14660E-04      1.79105E+02      1.33526E+01
  196      3.81152E-04      1.67800E+02      8.88995E+00
  197      3.33508E-04      1.76759E+02      5.73637E+00
  199      1.42932E-04      1.75630E+02      1.00000E+01
  201      1.42932E-04      1.72227E+02      1.00000E+01
  203      4.76440E-05      1.64090E+02      1.00000E+01
